INFO:root:Frame #94 - 1710344532.8815377: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #95 - 1710344532.884515: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #96 - 1710344532.8863819: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #97 - 1710344532.887587: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #98 - 1710344532.8883986: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #99 - 1710344532.890788: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #100 - 1710344532.893756: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #101 - 1710344532.8946223: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #102 - 1710344532.8959737: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #103 - 1710344532.8979902: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #104 - 1710344532.8987749: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #105 - 1710344532.9045339: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #106 - 1710344532.9102273: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #107 - 1710344532.9125996: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #108 - 1710344532.9146533: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #109 - 1710344532.9155636: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #110 - 1710344532.9189975: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #111 - 1710344532.919903: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #112 - 1710344532.9217064: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #113 - 1710344532.925498: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #114 - 1710344532.9282057: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #115 - 1710344532.9289992: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #116 - 1710344532.9296787: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #117 - 1710344532.9301584: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #118 - 1710344532.9307156: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #119 - 1710344532.9310923: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #120 - 1710344532.9315777: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #121 - 1710344532.9340534: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #122 - 1710344532.9347599: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #123 - 1710344532.9352841: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #124 - 1710344532.9357867: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #125 - 1710344532.9363284: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #126 - 1710344532.948192: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #127 - 1710344532.9496336: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #128 - 1710344532.9510257: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #129 - 1710344532.9517522: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #130 - 1710344532.9524984: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #131 - 1710344532.9548445: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #132 - 1710344532.9573379: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #133 - 1710344532.9598086: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #134 - 1710344532.9617238: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #135 - 1710344532.9668477: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #136 - 1710344532.9675999: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #137 - 1710344532.9681754: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #138 - 1710344532.9686863: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #139 - 1710344532.9697435: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #140 - 1710344532.970422: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #141 - 1710344532.9710226: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #142 - 1710344532.9722393: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #143 - 1710344532.976321: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #144 - 1710344532.9787254: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #145 - 1710344532.9799788: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #146 - 1710344532.9809434: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #147 - 1710344532.9817383: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #148 - 1710344532.984194: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #149 - 1710344532.9849384: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #150 - 1710344532.9855504: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #151 - 1710344532.9862256: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #152 - 1710344532.9867194: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #153 - 1710344532.9872715: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #154 - 1710344532.9877026: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #155 - 1710344532.9949899: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #156 - 1710344532.9959311: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #157 - 1710344532.9965637: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #158 - 1710344532.997135: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #159 - 1710344532.9978232: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #160 - 1710344532.9985209: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #161 - 1710344532.9994268: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #162 - 1710344533.0025473: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #163 - 1710344533.0086188: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #164 - 1710344533.011577: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #165 - 1710344533.0135167: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #166 - 1710344533.0160666: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #167 - 1710344533.0178645: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #168 - 1710344533.0195715: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #169 - 1710344533.021607: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #170 - 1710344533.025067: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #171 - 1710344533.0262415: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #172 - 1710344533.027941: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #173 - 1710344533.0286143: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #174 - 1710344533.0291424: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #175 - 1710344533.02962: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #176 - 1710344533.0300868: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #177 - 1710344533.03063: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #178 - 1710344533.031136: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #179 - 1710344533.0340528: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #180 - 1710344533.0347767: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #181 - 1710344533.0353692: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #182 - 1710344533.0359087: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #183 - 1710344533.0377495: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #184 - 1710344533.0385244: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #185 - 1710344533.0390446: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #186 - 1710344533.0457118: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #187 - 1710344533.0469515: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #188 - 1710344533.047565: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #189 - 1710344533.0480394: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #190 - 1710344533.0488148: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #191 - 1710344533.0494256: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #192 - 1710344533.0499997: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #193 - 1710344533.050776: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #194 - 1710344533.0512881: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #195 - 1710344533.0518937: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #196 - 1710344533.0522878: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #197 - 1710344533.052866: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #198 - 1710344533.0541716: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #199 - 1710344533.0600893: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #200 - 1710344533.0608678: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #201 - 1710344533.0613835: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #202 - 1710344533.0618072: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #203 - 1710344533.0622761: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #204 - 1710344533.062943: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #205 - 1710344533.0635848: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #206 - 1710344533.0641701: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #207 - 1710344533.926006: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #208 - 1710344533.9270978: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
